s   Symbol,total_market_cap
BTC,5.621273888E13
ETH,1.933882975E13
XRP,8.8487583495E12
BCH,5.80837769E12
LTC,2.5995623381E12
ADA,1.74618959E12
MIOTA,1.418441672E12
DASH,1.37129099916E12
XEM,1.3315866015E12
XLM,1.2427677649E12
NEO,1.225432034E12
XMR,1.05320953266E12
ETC,7.912912476E11
QTUM,4.95285899E11
BTG,4.63888699E11
LSK,4.24666211E11
ZEC,3.31323154262E11
STRAT,2.573198027E11
NANO,2.424679138E11
BCN,2.391577119E11
WAVES,2.19837409E11
BCC,2.18026432E11
BTS,2.1666876065E11
STEEM,2.113812402E11
XVG,2.0472724412E11
SC,1.8830815354E11
DOGE,1.6380809099E11
ARDR,1.455214524E11
HSR,1.4239801509E11
DCR,1.062746629E11
KMD,1.059094292E11
ARK,1.053651025E11
DGB,1.0240236795E11
FCT,8.722581038E10
NXT,8.118205341E10
PIVX,7.89560111E10
MONA,7.21391302E10
SYS,6.378641047E10
ETN,5.5058571E10
GAME,5.18011084E10
RDD,4.587122597E10
GXS,4.51470235E10
XZC,4.3628699E10
VTC,4.031686671E10
BCD,3.8381538E10
WAN,3.670771E10
GBYTE,3.6620461E10
BTX,3.10894983E10
NXS,3.08576832E10
NEBL,2.8535887E10
ZCL,2.762381894E10
XDN,2.513429062E10
ACT,2.31309905E10
EMC2,2.2579536314E10
NAV,2.176661129E10
EMC,1.91227924E10
ETP,1.87470031E10
XAS,1.79410836E10
ZEN,1.73775175E10
PPC,1.733321232E10
CNX,1.584108E10
BTCP,1.5778638E10
XP,1.57328205E10
PART,1.45051257E10
BAY,1.42514162E10
UBQ,1.41823026E10
SKY,1.3697943E10
GRS,1.358690445E10
ELA,1.2635075E10
SMART,1.1749385E10
VIA,1.11902093E10
WICC,1.0150768E10
LBC,9.69062933E9
DCT,9.5903545E9
POA,8.8694034E9
XCP,8.6072785E9
BURST,8.505260858E9
CLOAK,8.12870194E9
RISE,7.87044893E9
RVR,7.186793451E9
SLS,6.8593773E9
HT,6.567314E9
SBD,5.94775845E9
BLK,5.29153214E9
$PAC,5.1942481E9
POT,5.10650048E9
ION,5.0995727E9
THC,5.09855225E9
XBY,4.9039493E9
NMC,4.89318571E9
XEL,4.7850023E9
BTCD,4.76252842E9
OK,4.36174091E9
FTC,4.30622612E9
BLOCK,4.0196505E9
ATB,3.73737127E9
SHIFT,3.5985392E9
PURA,3.2624843E9
VRC,3.14218858E9
NLG,2.9886031E9
EXP,2.923542457E9
BITB,2.91609457E9
OMNI,2.8564232E9
LET,2.5495646E9
RADS,2.47305251E9
TPAY,2.3212846E9
XPM,2.2226283E9
XWC,2.02648112E9
MUE,1.8405924E9
AUR,1.67683832E9
AEON,1.6671922E9
LMC,1.58176638E9
LEO,1.5745842E9
HTML,1.5255162E9
CLAM,1.46761807E9
SIB,1.4669299E9
GRC,1.41210347E9
IOP,1.38551622E9
MOON,1.360998E9
NEOS,1.3045726E9
XMY,1.271269024E9
USNBT,1.122770645E9
SLR,1.07577053E9
IOC,1.0722954E9
PASC,1.06207906E9
GCR,1.06050192E9
XSH,1.0399933E9
LKK,1.0193572E9
IFC,1.01379766E9
MUSIC,9.7281558E8
TX,9.6346077E8
SPHR,9.1076119E8
XSPEC,8.99251E8
MEME,8.774456E8
FLO,8.0259618E8
SYNX,7.8427784E8
FLASH,7.720257E8
ECA,7.6555576E8
LINDA,7.1484702E8
BSD,7.0682161E8
WDC,6.1955001E8
DBIX,6.177331E8
ONION,6.101247E8
DIME,5.933982E8
KORE,5.8611632E8
PINK,5.64910019E8
MINT,4.8842141E8
LUX,4.8579768E8
ADK,4.78066027E8
XVC,4.5557272E8
XCN,4.54074677E8
DYN,4.4596798E8
SPR,4.4596069E8
EBST,4.33224188E8
DOPE,4.0706562E8
RBY,3.9629149E8
CHC,3.929469E8
CANN,3.827464E8
ABY,3.769687E8
COLX,3.3997379E8
ECC,3.184509E8
EXCL,3.0314461E8
PHR,2.9924086E8
BASH,2.932542E8
PND,2.8605564E8
RIC,2.8361847E8
DMD,2.7657597E8
XPY,2.71655E8
XBC,2.71331606E8
BOS,2.69713E8
EDR,2.6468327E8
MEC,2.6267685E8
FAIR,2.3980067E8
ENRG,2.387696E8
UNB,2.35775927E8
XLR,2.252702E8
BCO,2.2332E8
NVC,2.08005302E8
HUSH,2.0640354E8
SDC,2.018333E8
CRW,1.995346E8
QRK,1.9712567E8
NYC,1.935686E8
SPRTS,1.780972E8
ODN,1.75808E8
NOTE,1.7032547E8
START,1.6596661E8
ZET,1.5960225E8
RVN,1.521421E8
BRK,1.4922283E8
KB3,1.42186887E8
BLITZ,1.3605026E8
MNX,1.29452E8
MAX,1.25109972E8
XMG,1.2113336E8
SEQ,1.1506546E8
TCC,1.132199E8
VRM,1.0574628E8
PPY,1.040275E8
ZNY,9.489962E7
CURE,8.417934E7
TRUST,8.408418E7
PROC,8.279844E7
NLC2,8.06793E7
ZOI,8.00346E7
PKB,7.602527E7
ESP,7.53385E7
SUMO,6.99277E7
UNO,6.96605E7
PCN,6.668959E7
GLD,6.591209E7
SEND,6.287076E7
DEV,6.26733E7
BWK,6.23124E7
ADC,6.18216E7
2GIVE,5.916204E7
UNIT,5.67152E7
SNRG,5.3948464E7
REC,5.275371E7
HXX,5.253885E7
BDL,5.15131E7
BTM,5.063006E7
CPC,5.0153174E7
PTC,4.520742E7
BRX,4.378599E7
NOBL,4.2121059E7
DGC,3.597423E7
ERC,3.289793E7
BIS,3.18475E7
GAM,3.07636E7
GOLOS,2.907198E7
ETHD,2.8675825E7
EGC,2.830396E7
POSW,2.73282E7
VTR,2.71473E7
BYC,2.27711E7
PIRL,2.27126E7
DFT,2.229535E7
SRC,2.166469E7
ZER,2.022983E7
BUZZ,2.02298E7
DFS,1.9493897E7
SIGT,1.947539E7
CMPCO,1.941296E7
EFL,1.844782E7
CRDNC,1.6581E7
FRST,1.537283E7
INFX,1.427057E7
HUC,1.180489E7
GCN,1.16649E7
SAGA,1.126267E7
XGOX,1.06983E7
OCC,9651547.0
CREA,9644310.0
MZC,9220680.0
BBR,8874850.0
TAG,8276920.0
ANC,8175070.0
VIDZ,8078750.0
EMB,7796500.0
STAK,7394900.0
CRYPT,7276727.0
SUPER,7218757.0
CJ,6917870.0
MNTP,5300650.0
BOST,4894050.0
GCC,4526910.0
RBT,3785110.0
TIPS,3641600.0
TTC,3491850.0
RC,3187330.0
BTA,3071710.0
XHI,2573320.0
PIGGY,2250280.0
GB,1975350.0
RUP,1687640.0
URO,1566310.0
CRX,1406110.0
NTRN,1135680.0
ERY,498001.0
BITS,488877.0
LEA,442438.0
ICOB,433942.0
REE,404839.0
C2,349851.0
XVP,340765.0
XPD,321494.0
VLTC,90341.0
EBT,6870.0
ULA,5422.0
CALC,136.0
XRY,
DMC,
SAK,
ATMC,
XMC,
HWC,
THS,
BLAZR,
WC,
SBTC,
SIC,
VIPS,
KST,
OF,
CLUB,
MSD,
GBG,
MAGE,
EDRC,
AKY,
SBC,
XTZ,
BT2,
BTW,
PLAN,
ASN,
UBTC,
OPC,
XMO,
HIGH,
XHV,
EAG,
SHND,
DAV,
PRN,
COUPE,
CHAT,
B2X,
CYDER,
NMS,
HBC,
SIGMA,
XIN,
XSTC,
BCA,
MLM,
ZBC,
BCX,
STN,
FRGC,
TTT,
CKUSD,
BSR,
GAIN,
LCC,
OC,
W3C,
FIL,
BTBc,
CME,
